Date,Runoff,Rainfall
5/01/1980 20:00,0,0
5/01/1980 21:00,3804.446,0.13693626
5/01/1980 22:00,2056.959,0.07403764
5/01/1980 23:00,478.363,0.01721806
6/01/1980 0:00,0,0
6/01/1980 1:00,0,0
6/01/1980 2:00,454.933,0.01637473
6/01/1980 3:00,857.148,0.03085195
6/01/1980 4:00,145.461,0.00523569
6/01/1980 5:00,0,0
6/01/1980 6:00,0,0
6/01/1980 7:00,0,0
6/01/1980 8:00,0,0
6/01/1980 9:00,1140.26,0.04104222
6/01/1980 10:00,690.209,0.0248432
6/01/1980 11:00,798.573,0.02874361
6/01/1980 12:00,0,0
6/01/1980 13:00,458.838,0.01651528
6/01/1980 14:00,233.324,0.0083982
6/01/1980 15:00,224.538,0.00808194
6/01/1980 16:00,0,0
6/01/1980 17:00,457.861,0.01648014
6/01/1980 18:00,0,0
6/01/1980 19:00,0,0
6/01/1980 20:00,690.209,0.0248432
6/01/1980 21:00,458.838,0.01651528
6/01/1980 22:00,457.861,0.01648014
6/01/1980 23:00,234.3,0.00843333
7/01/1980 0:00,0,0
7/01/1980 1:00,858.124,0.03088709
7/01/1980 2:00,0,0
7/01/1980 3:00,0,0
7/01/1980 4:00,0,0
7/01/1980 5:00,0,0
7/01/1980 6:00,0,0
7/01/1980 7:00,0,0
7/01/1980 8:00,0,0
7/01/1980 9:00,0,0
7/01/1980 10:00,0,0
7/01/1980 11:00,898.15,0.03232778
7/01/1980 12:00,790.763,0.0284625
7/01/1980 13:00,1415.563,0.05095139
7/01/1980 14:00,788.81,0.02839222
7/01/1980 15:00,39.05,0.00140556
7/01/1980 16:00,427.598,0.01539083
7/01/1980 17:00,321.186,0.0115607
7/01/1980 18:00,156.2,0.00562222
7/01/1980 19:00,1727.963,0.06219584
7/01/1980 20:00,322.163,0.01159583
7/01/1980 21:00,1287.674,0.0463482
7/01/1980 22:00,126.912,0.00456806
7/01/1980 23:00,634.563,0.02284028
8/01/1980 0:00,0,0
8/01/1980 1:00,0,0
8/01/1980 2:00,1765.06,0.06353112
8/01/1980 3:00,565.249,0.02034542
8/01/1980 4:00,468.6,0.01686667
8/01/1980 5:00,467.624,0.01683153
8/01/1980 6:00,0,0
8/01/1980 7:00,0,0
8/01/1980 8:00,0,0
8/01/1980 9:00,0,0
8/01/1980 10:00,0,0
8/01/1980 11:00,0,0
8/01/1980 12:00,0,0
8/01/1980 13:00,0,0
8/01/1980 14:00,0,0
8/01/1980 15:00,0,0
8/01/1980 16:00,0,0
8/01/1980 17:00,0,0
8/01/1980 18:00,0,0
8/01/1980 19:00,0,0
8/01/1980 20:00,0,0
8/01/1980 21:00,0,0
8/01/1980 22:00,0,0
8/01/1980 23:00,0,0
9/01/1980 0:00,0,0
9/01/1980 1:00,0,0
9/01/1980 2:00,0,0
9/01/1980 3:00,0,0
9/01/1980 4:00,0,0
9/01/1980 5:00,0,0
9/01/1980 6:00,0,0
9/01/1980 7:00,0,0
9/01/1980 8:00,0,0
9/01/1980 9:00,0,0
9/01/1980 10:00,0,0
9/01/1980 11:00,0,0
9/01/1980 12:00,0,0
9/01/1980 13:00,0,0
9/01/1980 14:00,0,0
9/01/1980 15:00,0,0
9/01/1980 16:00,165.963,0.00597361
9/01/1980 17:00,1269.125,0.04568056
9/01/1980 18:00,0,0
9/01/1980 19:00,0,0
9/01/1980 20:00,0,0
9/01/1980 21:00,0,0
9/01/1980 22:00,0,0